reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a0a168e6-f673-4fb3-b88d-566b160fa276,친구배,https://play-lh.googleusercontent.com/a-/ALV-UjXoQuNthZfGXXHsEkTg2zXlJoO0moF7EyzCbpm0pFFihobg9UnH,돈이 충분해도 기프티콘을 구매할 수 없습니다,2,0,3.0.11,2025-02-20 04:20:14,"안녕하세요 콴다 운영팀입니다.
먼저 소중한 시간을 내어 리뷰를 남겨 주셔서 감사합니다. 안타깝게도 리뷰에서는 유료 코인/결제/환불/계정 등의 문의를 해결해 드리기 어렵습니다😓 남겨주신 내용에 대해 자세한 확인 및 진행을 위하여 번거로우시겠지만 앱 내 1:1 문의하기를 통해 문의를 남겨 주시면 빠르게 확인 후 답변 드리겠습니다. 저희 콴다 서비스를 찾아 주셔서 감사합니다🧡",2025-02-20 15:21:37,3.0.11
21f7ffe9-3bb5-4395-824f-23e0df4b5cee,율무래기,https://play-lh.googleusercontent.com/a-/ALV-UjXSWiVAQDVzvGuB4TkfoGvM-g42s62JJXsMS1s744hDsLhN6VY,왜 대학을 눌렀더니 단과대가 안 뜨나요? 사용설명이라도 미리 써주셨으면 합니다,1,0,3.0.11,2025-02-13 01:14:24,"안녕하세요 콴다 팀 입니다.
학교/학과 정보를 입력하신 정보와 대조하여 승인 절차를 진행하고 있기 때문에, 현재 학교/학과 검색이 되지 않으신다면 가입이 불가능한 상태입니다.
전국의 수많은 대학교들에서 수요가 많은 것을 콴다 운영 팀도 인지하고 있으며, 지금은 그 기회가 부족하지만 앞으로 더 자주, 더 효율적으로 참여할 기회를 만들도록 노력하겠습니다.
빠른 시일 내에 꼭 좋은 인연으로 콴다와 함께하실 수 있기를 바랍니다.
감사합니다. 콴다 팀 드림",2025-02-13 10:12:23,3.0.11
47a39bd3-e020-4405-86cc-8c6abcfbe759,귀요미,https://play-lh.googleusercontent.com/a-/ALV-UjWUC9APRug9H8AEqi20KmjhyBeMv6_576fV2LPh4QFnjFafEal9,경북대 자율전공학부도 넣어주시면 감사하겠습니다... 학부가 없어서 가입이 불가능해요,4,0,3.0.11,2025-02-12 03:13:54,"안녕하세요 콴다 팀 입니다.
학교/학과 정보를 입력하신 정보와 대조하여 승인 절차를 진행하고 있기 때문에, 현재 학교/학과 검색이 되지 않으신다면 가입이 불가능한 상태입니다.
전국의 수많은 대학교들에서 수요가 많은 것을 콴다 운영 팀도 인지하고 있으며, 지금은 그 기회가 부족하지만 앞으로 더 자주, 더 효율적으로 참여할 기회를 만들도록 노력하겠습니다.
빠른 시일 내에 꼭 좋은 인연으로 콴다와 함께하실 수 있기를 바랍니다.
감사합니다. 콴다 팀 드림",2025-02-12 13:25:43,3.0.11
d260f3c7-038e-4814-8b6a-a51f0c50cbb4,시러,https://play-lh.googleusercontent.com/a-/ALV-UjUg-1gHT-qnp-84WlJv1LkVDGv7V3VGHntT2W1MNh11s4tir7BX,회원가입하려고 대학교 선택했는데 단과대가 다 있는게 아니라서 회원가입을 못하네요. 왜 그런건가요?,3,0,3.0.11,2025-02-01 22:52:33,"안녕하세요 콴다 팀 입니다.
학교/학과 정보를 입력하신 정보와 대조하여 승인 절차를 진행하고 있기 때문에, 현재 학교/학과 검색이 되지 않으신다면 가입이 불가능한 상태입니다.
전국의 수많은 대학교들에서 수요가 많은 것을 콴다 운영 팀도 인지하고 있으며, 지금은 그 기회가 부족하지만 앞으로 더 자주, 더 효율적으로 참여할 기회를 만들도록 노력하겠습니다.
빠른 시일 내에 꼭 좋은 인연으로 콴다와 함께하실 수 있기를 바랍니다.
감사합니다. 콴다 팀 드림",2025-02-02 10:50:47,3.0.11
34a93942-7364-4141-a20c-ba2ca74a085c,안성욱,https://play-lh.googleusercontent.com/a-/ALV-UjV3RC4CvSBWhnqa768OjLcRQ4yRCf_X43vjCCzUDI2QauhIDie6,관리자들 일을 쳐 안하네요 가입승인 안한지 이틀째인데 그럼 1일내 된다고 말을 쳐 하지 말던가 일 안하면 월급 주지 마세요,1,0,3.0.11,2025-02-01 14:46:27,"안녕하세요. 콴다 팀입니다.
소중한 리뷰 감사드립니다. 먼저 선생님 인증 신청의 경우 영업일 기준 1일 이내 결과 확인이 가능합니다. 다만, 주말 및 공휴일, 신청 선생님 수에 따라 지연될 수 있는 점 양해 부탁드립니다. 또한, 리뷰에서는 문의주신 계정을 파악하지 못해 정확한 해결을 제공해 드리기 어렵습니다. 앱 내 고객센터의 문의하기를 통해 문의를 남겨주시면 해당 정보 확인 후 신속하게 답변 드리겠습니다. 감사합니다. 콴다 팀 드림",2025-02-02 10:49:20,3.0.11
421c96d1-93ca-4857-9fba-7120a01c40be,이승규,https://play-lh.googleusercontent.com/a/ACg8ocJZnCJCSIKoLiXeSJQZlKUXdmSrT7uBIP2DNHDXQdJYH13daw=mo,요즘 질문량이 많이 적네요. 코인 소멸 기한을 늘리는게 낫지 않을까 생각합니다,5,1,3.0.11,2025-02-01 00:09:58,"안녕하세요 콴다 팀 입니다. 먼저 소중한 의견을 전달주시어 감사합니다.
콴다에서는 선생님들께 더 많은 서비스를 제공하기 위해 노력하고 있습니다.
현재 전달주신 피드백 또한 귀담아 듣겠습니다.
만약 관련하여 상세한 확인이 필요하실 경우, 언제든지 앱 내 [문의하기] 로 전달 주시면 빠르게 확인 후 회신 드리겠습니다!
콴다에 많은 관심과 애정을 보내주시어 감사합니다. 콴다 팀 드림",2025-02-01 14:41:07,3.0.11
5db2a5d7-42b2-4f49-a6fb-a95efa440800,*•,https://play-lh.googleusercontent.com/a-/ALV-UjXmhTDHGNBSIgT0n0kSx7k3KniY5Xh8fID07aJ63kmBnygA4UmP,안녕하세요... 혹시 선생님 인증은 언제쯤 되나요... ㅠㅠ 2~3일 지난 것 같은데 인증이 거절된 것도 아니고 승인된 것도 아니고 계속 인증정보 창만 떠있어요......,3,0,,2024-12-21 07:30:37,"안녕하세요. 콴다 팀입니다.
소중한 리뷰 감사드립니다. 안타깝게도 리뷰에서는 유료 코인/결제/환불/계정 등의 문의를 해결해 드리기 어렵습니다. 더욱 더 자세한 확인 및 진행을 위하여 번거로우시겠지만 앱 내 고객센터의 문의하기를 통해 문의를 남겨주시면 빠르고 정성껏 답변 드리겠습니다. 감사합니다. 콴다 팀 드림",2024-12-21 12:47:58,
64a503a0-1621-4239-9e2c-5a78e653987d,주원,https://play-lh.googleusercontent.com/a-/ALV-UjVFqVJCd3TGFqt7L4PuDGwlYzvJiLp0G7nCCklnYJjQGF8asnc,"문제점 1 : 지나치게 어려운 문제들만 학생들이 올리는 경우가 많습니다. 문제점 2: 학생 신고 기능이 잘 작동되고 있는 것 같지 않습니다. 문제점 3: 문제 풀이 시간이 10분인데 시간이 너무 짧은 것 같습니다. 문제점 4: 다른 어플들에 비해서 보상이 적은 것 같아요. 개선 방안: 결국 콴다란 어플을 학생들과 선생님들이 많이 사용하기 위해서는 이용자 증가, 선생님의 질이 향상되어야 합니다. 하지만 악순환에 빠져 있는 것 같아요. 큐브(메가)에 비해 선생님 수준은 낮고(학생입장), 문제는 어렵고 문제 풀이 보상도 적습니다.(선생님입장). 제가 대학교 1학년때부터 이 어플을 봤는데 개선된 점이 없는 것 같아요 ㅠㅠ 수요과 공급 둘 중에 하나를 획기적으로 바꾸지 않는 한 쇠퇴할 것이 뻔해 보입니다. 선생님 수준을 올리고 보상을 늘리거나 학생들이 이용하는 단가를 낮춰 문제 수를 늘리기, 쉬운 문제 유입. 두 카드 중 하나를 해야 할 것 같아요",3,7,3.0.11,2024-11-30 22:15:42,"안녕하세요 콴다 팀 입니다. 먼저 소중한 의견을 전달주시어 감사합니다.
콴다에서는 선생님들께 더 많은 서비스를 제공하기 위해 노력하고 있습니다.
현재 전달주신 피드백 또한 귀담아 듣겠습니다.
만약 관련하여 상세한 확인이 필요하실 경우, 언제든지 앱 내 [문의하기] 로 전달 주시면 빠르게 확인 후 회신 드리겠습니다!
콴다에 많은 관심과 애정을 보내주시어 감사합니다. 콴다 팀 드림",2024-12-03 17:33:14,3.0.11
51d85dc1-4370-4843-ade9-1d5f4abf41ca,차윤지,https://play-lh.googleusercontent.com/a/ACg8ocKys9HUH8UY33ZfOTeJUKtX-xOqrph7qylZgTQSzpjgWKSxaA=mo,개념을 아예 모르는 학생이 3천 몇 코인에 유전 문제 여러개 올려놓고 개념이랑 풀이방법 설명해달라 하더군요. 실컷 해줬더니 설명 제대로 안 읽고 새 날라가는 소리 해서 다시 설명해줬더니 별점 4점 주네요. 문제당 코인 규정+기본 개념은 숙지하고 올리는지 학생 선에서 먼저 확인한 뒤 선생쪽으로 넘겨주면 좋겠네요. 모 어플과 너무 차이가 나는 수준이라 떠납니다. 좋은 방향으로 규정 업데이트가 되길 바라겠습니다.,2,0,3.0.11,2024-11-22 11:08:47,"안녕하세요 콴다 팀 입니다. 먼저 소중한 의견을 전달주시어 감사합니다.
콴다에서는 선생님들께 더 많은 서비스를 제공하기 위해 노력하고 있습니다.
현재 전달주신 피드백 또한 귀담아 듣겠습니다.
만약 관련하여 상세한 확인이 필요하실 경우, 언제든지 앱 내 [문의하기] 로 전달 주시면 빠르게 확인 후 회신 드리겠습니다!
콴다에 많은 관심과 애정을 보내주시어 감사합니다. 콴다 팀 드림",2024-11-24 11:59:09,3.0.11
5788884c-e73e-4021-9172-e4782478e482,dongmin kim,https://play-lh.googleusercontent.com/a-/ALV-UjWeSnA2072jqXo-e7mr-GMdVKI5RJFQ-W_9foDw_oWuqEw-stmh,"맞는 풀이인 것 같은데 오답 신고를 하는 경우가 많아 의욕이 떨어지는 것 같습니다. 물론 선생님이 틀릴 수 있지만요. 오답으로 신고시 해당 문제의 답을 강제로 첨부하게 하여 선생님께 보여주면 좋겠습니다. 선생님이 틀리면 선생님 나름대로 배우는거고, 학생들이 잘못 이해한 부분이 있다면 더 설명할 수 있을 거 같아요. 좋은 앱이고 취지도 좋으나 이부분이 아쉽습니다.",3,1,3.0.11,2024-11-20 12:30:02,"안녕하세요 콴다 팀 입니다. 먼저 소중한 의견을 전달주시어 감사합니다.
콴다에서는 선생님들께 더 많은 서비스를 제공하기 위해 노력하고 있습니다.
현재 전달주신 피드백 또한 귀담아 듣겠습니다.
만약 관련하여 상세한 확인이 필요하실 경우, 언제든지 앱 내 [문의하기] 로 전달 주시면 빠르게 확인 후 회신 드리겠습니다!
콴다에 많은 관심과 애정을 보내주시어 감사합니다. 콴다 팀 드림",2024-11-20 19:20:32,3.0.11
