reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
992108db-2949-4469-8c45-653194988291,임호준,https://play-lh.googleusercontent.com/a/ACg8ocI5oMO6W9kPEsEzRVti3Jc-7F966fAnp9K4-Q7xiEhkIDbCnw=mo,7일 무료 혜택 있는거 맞아요???,1,0,,2025-02-23 00:00:28,,,
2da0544d-4308-421f-8ffc-5667b0130bc9,:,https://play-lh.googleusercontent.com/a-/ALV-UjUj2HP7H1vdJWEr4zRW0GyoFhG6GxR7RalwwNt-R8ZpKYtkLtq_,제발 이상한 광고 좀 안나오게 해주세요 공부하는 데 쓰이는 앱인데 자꾸 음란한 광고가 나옵니다. 스카나 학교에서 민망해지네요. 광고가 긴 것은 괜찮은데 무슨 광고가 일본 오타쿠애니광고만 계속 나오니까 진짜 민망하고 화가 납니다. 너무하네요 진짜 아무리 돈 벌고싶어도 애들 공부하는 앱에 이런광고 내보내면서 돈벌고싶나요,1,0,6.2.05,2025-02-22 21:48:21,,,6.2.05
bac531c0-7aeb-4dbd-a763-4b22ab9fd0d6,이영심,https://play-lh.googleusercontent.com/a/ACg8ocJNzCUvivltoZm0pG7XND7iL9t7eB59bD8ZrDcaFbOIEkHgQA=mo,괜찮긴 한데 답이 다 틀리네요;;ㅎ,4,0,,2025-02-22 18:45:56,,,
09a4ec61-f238-4537-af63-d37abaa43e44,백근영,https://play-lh.googleusercontent.com/a-/ALV-UjU0om5XyVmU8IR6nzaNswBj0BKAH8DZXA1YNOH3Hedx6U8cOfo,아니 광고가 나온다 치더라도 너무 길잖아요... 아니 5초 뒤에 나갈 수 있게라도 하던가.. 광고를 끝까지 다보게 하면 에휴...,1,0,,2025-02-22 16:15:14,,,
10ca59dd-39d7-4ffb-9feb-529bd59d8e90,이현민,https://play-lh.googleusercontent.com/a-/ALV-UjWrek79-GR9omrdhDXMK9RsWfpzkzJ6Xdgy1L12m9MErmWCJZA,광고시간이 너무 많이 늘어나서 비효율적,1,0,6.2.05,2025-02-22 14:59:39,,,6.2.05
4e537cb8-3a2a-4e7b-a846-d9ba14f4a0da,김동언,https://play-lh.googleusercontent.com/a/ACg8ocK0fJVjebMDB8Fmc3gyF6lLhnIPVXsKgI-GxkJcg_vGJXActQ=mo,광고개기네,1,0,6.2.05,2025-02-22 13:13:37,,,6.2.05
01b735d5-d1b0-453f-b656-451c90369eb3,김세현,https://play-lh.googleusercontent.com/a/ACg8ocL9VwVrIufCkjVWSTN4EVE2OoHqKjXY4Y3v0k0QcMef6A9VFg=mo,광고가 너무 많고 길어요,1,0,6.2.05,2025-02-22 12:52:59,,,6.2.05
d86380fe-f6a9-4b35-88cd-0d85235bc18c,감0991,https://play-lh.googleusercontent.com/a-/ALV-UjXDsX8YT6Jjs1TnfrJvOL_AW2DfM1-0zeel2_H8K8Wnl0l0q2aW,아니 광고가지고 뭐라 안 할려 했는 데ㅋㅋ 배민 15초짜리 광고 계속 틀어주는 건 ㅋㅋ 돈을 얼마나 쳐받아먹은거냐,1,1,6.2.06,2025-02-22 11:51:36,,,6.2.06
e7372034-5acf-4875-864d-540202462531,소민규,https://play-lh.googleusercontent.com/a/ACg8ocIXQFPs14XvkjqiCgzrGelJjpnmhIzZCGT7mFkcGo2HP5TUiw=mo,테블릿에서 사용할때 가로모드가 안돼서 불편해요,4,0,6.2.04,2025-02-21 11:58:06,"소중한 시간을 내어 리뷰를 남겨주셔서 감사합니다!☺️ 콴다는 유저분들께 더욱 편리하고 유익한 서비스를 제공하기 위해 항상 고민하고 있습니다. 남겨주신 소중한 피드백도 귀 기울여 듣고, 더 나은 서비스를 만들어가도록 노력하겠습니다. 추가 의견이 있으시면 앱 리뷰 닉네임과 함께 언제든지 콴다 1:1 문의로 보내주세요. 이용해 주셔서 감사합니다!🧡",2025-02-21 17:19:56,6.2.04
6cbefe7d-dab5-44b4-b3c4-f85b44ab4cd5,김한성,https://play-lh.googleusercontent.com/a/ACg8ocKBIOI7NSysTo0187dz_B5KvubP9vIJMeZX_TN6KMKNe-9O_g=mo,광고 그만 보내라 마지막 경고다,5,1,6.2.04,2025-02-21 09:14:56,광고 시청으로 인해 많이 답답하셨을 것 같아요🥹 현재 광고 시스템 개선을 위해 노력 중에 있으니 너른 마음으로 양해 부탁드립니다. 전달 주신 의견은 내부적으로 공유하고 검토하여 더 나은 환경을 제공하기 위해 깊이 고민하겠습니다!🙏 추가 피드백이 있으시면 앱 리뷰 닉네임과 함께 언제든지 콴다 1:1 문의로 보내주세요. 보내주신 의견은 꼼꼼히 확인하여 개선될 수 있도록 노력하겠습니다! 콴다 서비스를 이용해 주셔서 감사합니다🧡,2025-02-21 16:52:59,6.2.04
123838d2-3067-4125-8802-d777190bbaad,최진웅,https://play-lh.googleusercontent.com/a-/ALV-UjUqOG6w7yNwnnLBGibqDCJ6BdHlltbkxQfifKQ1vLH2U0-3z6A,굿,5,0,6.2.04,2025-02-21 00:44:30,"콴다를 이용해 주셔서 감사합니다! 앱을 사용하며 좋은 경험을 하셨다니 정말 기쁘네요🥰 콴다는 학생들에게 더 유익한 학습 경험을 제공하기 위해 계속해서 발전해 나가고 있습니다. 유저분들의 의견과 응원이 큰 힘이 되니, 앞으로도 많은 기대 부탁드립니다! 감사합니다!🧡",2025-02-21 16:52:26,6.2.04
bda819d6-06d1-4e57-a012-529212fed89b,이문원,https://play-lh.googleusercontent.com/a/ACg8ocJ_hIrFYyjesUgd6vwZvw0mqef6Eku7LLapT4P2V1IlG4xfIg=mo,업데이트 후에 프리미엄 안하면 ai도 사용못하고 검색해도 젤 상관있는 문제가 동영상 풀이이고 나머지는 상관없는 다른 문제들이 나오는데 그 동영상 풀이를 절반밖에 못보니까 앱이 쓸모가 없어요.. 문제를 못출어서 공부도 못하고 그냥 광고만 봐야함. 챗 gpt가 더 나을듯,2,1,5.3.24,2025-02-20 11:55:22,"소중한 시간을 내어 리뷰를 남겨주셔서 감사합니다! AI 문제 풀이는 프리미엄 멤버십이 없을 경우 하루 2회까지 질문할 수 있지만, 일반 검색은 제한 없이 이용 가능합니다. 질문 횟수를 모두 사용하셨다면, 일반 검색을 활용해 보시길 권장드립니다😊 남겨주신 의견은 관련 부서와 공유하여 신중히 검토하고, 앞으로도 더 많은 분들께 사랑받는 콴다가 될 수 있도록 최선을 다하겠습니다. 감사합니다!🧡",2025-02-21 16:50:22,5.3.24
